X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
149599999.06613582,9648719.979939587,0.0,-5.758616765926708e-06,29.779999814486565,0.0,443.4215355585439,0.0,-0.0,4455087999.999996,-0.9979722300459665,-0.06365082919397551,0.0
149599999.0452901,9755927.979264315,0.0,-5.822331918868331e-06,29.77999981035431,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9979265486051262,-0.06436306074963095,0.0
149599999.02421504,9863135.978574086,0.0,-5.886038177296708e-06,29.77999980617698,0.0,443.42153555854384,0.0,-0.0,4455087999.999996,-0.9978803631351493,-0.06507519396254391,0.0
149599999.00291064,9970343.977868736,0.0,-5.9497354455734e-06,29.779999801954595,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9978336738471276,-0.06578722776302508,0.0
149599998.98137695,10077551.977148104,0.0,-6.0134236281282286e-06,29.779999797687168,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9977864809544033,-0.06649916108214023,0.0
149599998.959614,10184759.97641203,0.0,-6.0771026294599735e-06,29.779999793374724,0.0,443.4215355585439,0.0,-0.0,4455087999.999995,-0.9977387846725647,-0.06721099285171803,0.0
149599998.93762183,10291967.975660348,0.0,-6.140772354137083e-06,29.77999978901728,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.997690585219445,-0.06792272200435794,0.0
149599998.91540045,10399175.9748929,0.0,-6.204432706798369e-06,29.779999784614855,0.0,443.4215355585439,0.0,-0.0,4455087999.999995,-0.9976418828151189,-0.06863434747343805,0.0
149599998.8929499,10506383.974109521,0.0,-6.268083592153711e-06,29.779999780167472,0.0,443.4215355585439,0.0,-0.0,4455087999.999995,-0.9975926776818994,-0.06934586819312287,0.0
149599998.87027025,10613591.973310051,0.0,-6.331724914984752e-06,29.779999775675147,0.0,443.4215355585439,0.0,-0.0,4455087999.999995,-0.9975429700443359,-0.0700572830983713,0.0
149599998.8473615,10720799.972494328,0.0,-6.395356580145599e-06,29.779999771137906,0.0,443.4215355585439,0.0,-0.0,4455087999.999995,-0.9974927601292104,-0.07076859112494426,0.0
149599998.8242237,10828007.97166219,0.0,-6.458978492563517e-06,29.779999766555765,0.0,443.42153555854384,0.0,-0.0,4455087999.999995,-0.9974420481655357,-0.07147979120941257,0.0
